tsn,taxon,class,subclass,infraclass,order,suborder,superfamily,family,infraorder,subfamily,genus,species,superorder,tribe,subgenus,subtribe
109602,Scarites,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,NA,Carabidae,NA,Scaritinae,Scarites,NA,Holometabola,Scaritini,NA,NA
111436,Chlaenius,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,NA,Carabidae,NA,Harpalinae,Chlaenius,NA,Holometabola,Chlaeniini,NA,NA
111751,Galerita bicolor,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,NA,Carabidae,NA,Harpalinae,Galerita,Galerita bicolor,Holometabola,Galeritini,Galerita (Progaleritina),NA
1117840,Arachnida,Euchelicerata,Arachnida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113265,Staphylinidae,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Staphylinoidea,Staphylinidae,Staphyliniformia,NA,NA,NA,Holometabola,NA,NA,NA
113837,Cantharidae,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Elateriformia,NA,NA,NA,Holometabola,NA,NA,NA
113852,Cleridae,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Cleroidea,Cleridae,Cucujiformia,NA,NA,NA,Holometabola,NA,NA,NA
113869,Melyridae,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Cleroidea,Melyridae,Cucujiformia,NA,NA,NA,Holometabola,NA,NA,NA
113879,Elateridae,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elateriformia,NA,NA,NA,Holometabola,NA,NA,NA
113906,Melanotus,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elateriformia,NA,Melanotus,NA,Holometabola,NA,NA,NA
114273,Ptilodactyla,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Byrrhoidea,Ptilodactylidae,Elateriformia,Ptilodactylinae,Ptilodactyla,NA,Holometabola,NA,NA,NA
114290,Nitidulidae,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Cucujoidea,Nitidulidae,Cucujiformia,NA,NA,NA,Holometabola,NA,NA,NA
114327,Cerylonidae,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Coccinelloidea,Cerylonidae,Cucujiformia,NA,NA,NA,Holometabola,NA,NA,NA
114328,Corylophidae,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Coccinelloidea,Corylophidae,Cucujiformia,NA,NA,NA,Holometabola,NA,NA,NA
114329,Coccinellidae,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Cucujiformia,NA,NA,NA,Holometabola,NA,NA,NA
114345,Chilocorus stigma,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Cucujiformia,Chilocorinae,Chilocorus,Chilocorus stigma,Holometabola,NA,NA,NA
114383,Mordellidae,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Tenebrionoidea,Mordellidae,Cucujiformia,NA,NA,NA,Holometabola,NA,NA,NA
114387,Meloidae,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Tenebrionoidea,Meloidae,Cucujiformia,NA,NA,NA,Holometabola,NA,NA,NA
114419,Tenebrionidae,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Tenebrionoidea,Tenebrionidae,Cucujiformia,NA,NA,NA,Holometabola,NA,NA,NA
114452,Melandryidae,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Tenebrionoidea,Melandryidae,Cucujiformia,NA,NA,NA,Holometabola,NA,NA,NA
114472,Ptinidae,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Bostrichoidea,Ptinidae,Bostrichiformia,NA,NA,NA,Holometabola,NA,NA,NA
114493,Scarabaeidae,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Scarabaeoidea,Scarabaeidae,Scarabeiformia,NA,NA,NA,Holometabola,NA,NA,NA
